je	I
monter dans [la véhicule]	to get into [the vehicle]
descendre de	to get out of (a vehicle)
le piéton	pedestrian
la Voiture	Car
le vitre	window (esp. windshield)
la roue	wheel (of car)
le pneu	tire
le volant	steering wheel
la ceinture de sécurité	seatbelt
le phare	headlight
le clignotant	turn signal
l'essuie-glace (m)	windshield wiper
l'essence (f)	gasoline
la station-service	gas station
le moteur	engine
l'huile (f)	oil
la frêne	brake
la panne	breakdown
être en panne	to be broken, not working
Voyager	Travel
les vacances	vacation
aller en vacances	to go on vacation
voyage d'affaires	business travel
le voyage	trip
visiter [une endroit]	to visit [a place]
rendre visite [à quelqu'un]	to visit [someone]
le bagage (m)	luggage
la valise	suitcase
faire les valises	to pack
l'hôtel (m)	hotel
le séjour	stay
les renseignements (m)	information
le passeport	passport
le visa	visa
la douane	customs
le plan	(city) map
le Bus	Bus
le conducteur, le chauffeur	bus driver
la gare routière	bus station
l'arrêt	[bus] stop
la place	seat
le Train	Train
la gare	station
le guichet	ticket window
l'horaire (m)	timetable
le billet	ticket
l'aller simple	one-way
l'aller retour	round trip
le tarif	(ticket) price
le quai	platform
la voie	track
la sortie	exit
l'arrivée (f)	arrival
le départ	departure
le retard, le delai	delay
la couchette	sleeper berth
la correspondance	connection
l'Avion (m)	Airplane
l'aéroport (m)	airport
le vol	flight
le décollage	takeoff
l'atterrissage (m)	landing
Autres Véhicules (f)	Other Vehicles
le bateau	boat
le vélo, la bicyclette	bike, bicycle
la moto	motorcycle
le métro	subway
le jeton	token
le taxi	taxi
la Géographie	Geography
le pays	country
la ville	city
la campagne	countryside
l'île (f)	island
les Masses (f) d'eau	Bodies of Water
l'océan (m)	ocean
la mer	sea
le lac	lake
le fleuve	river
le ruisseau	stream
le marais	marsh, swamp
le Paysage	Landscape
la montagne	mountain
le rocher	rock (boulder)
la colline	hill
la vallée	valley
le champ	field
la forêt	forest
la fleur	flower
l'arbre (m)	tree
le désert	desert
les Continents (m)	Continents
l'Afrique (f)	Africa
l'Amérique (f)	America
...du Nord	(North)
...du Sud	(South)
l'Asie (f)	Asia
l'Australie (f)	Australia
l'Europe (f)	Europe
les Pays (m)	Countries
l'Algérie (f)	Algeria
la Belgique	Belgium
le Brésil	Brazil
le Canada	Canada
la Chine	China
l'?gypte (f)	Egypt
l'Angleterre (f)	England
la France	France
l'Allemagne (f)	Germany
la Grèce	Greece
